Title,Rating,Year,Month,Runtime,Directors,Budget,Income,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Top_50_Director,Lead,Supporting,Lead_Top,Supporting_Top
F9: The Fast Saga,5.2,2021,6,143,Justin Lin,200000000.0,726229501.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Vin Diesel, Michelle Rodriguez,1,0
CODA,8.0,2021,8,111,Sian Heder,10000000.0,1886365.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Emilia Jones, Marlee Matlin,0,0
The Last Duel,7.4,2021,10,152,Ridley Scott,100000000.0,30552111.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Matt Damon, Adam Driver,1,0
Shang-Chi and the Legend of the Ten Rings,7.4,2021,9,132,Destin Daniel Cretton,200000000.0,432243292.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Simu Liu, Awkwafina,0,0
West Side Story,7.2,2021,12,156,Steven Spielberg,100000000.0,76016171.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Ansel Elgort, Rachel Zegler,0,0
Old,5.8,2021,7,108,M Night Shyamalan,18000000.0,90146510.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Gael Garc a Bernal, Vicky Krieps,0,0
Red Notice,6.3,2021,11,118,Rawson Marshall Thurber,160000000.0,178143.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Dwayne Johnson, Ryan Reynolds,1,0
The Many Saints of Newark,6.3,2021,10,120,Alan Taylor,50000000.0,13058293.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alessandro Nivola, Leslie Odom Jr ,0,0
Belfast,7.3,2021,11,98,Kenneth Branagh,25000000.0,48845160.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jude Hill, Lewis McAskie,0,0
Malignant,6.2,2021,9,111,James Wan,40000000.0,34892041.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Annabelle Wallis, Maddie Hasson,0,0
The Tomorrow War,6.5,2021,7,138,Chris McKay,200000000.0,14400000.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Pratt, Yvonne Strahovski,1,0
Godzilla vs. Kong,6.3,2021,3,113,Adam Wingard,200000000.0,470067014.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Alexander Skarsg rd, Millie Bobby Brown,0,0
Cruella,7.3,2021,5,134,Craig Gillespie,100000000.0,233503234.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Emma Stone, Emma Thompson,1,0
Benedetta,6.8,2021,12,131,Paul Verhoeven,24350000.0,4250592.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Virginie Efira, Charlotte Rampling,0,0
Resident Evil: Welcome to Raccoon City,5.2,2021,11,107,Johannes Roberts,25000000.0,41914915.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Kaya Scodelario, Robbie Amell,0,0
Boiling Point,7.5,2021,1,92,Philip Barantini,820000.0,1426916.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stephen Graham, Vinette Robinson,0,0
Venom: Let There Be Carnage,5.9,2021,10,97,Andy Serkis,110000000.0,506863592.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Tom Hardy, Woody Harrelson,1,0
Red Rocket,7.2,2021,12,130,Sean Baker,1100000.0,2312554.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Simon Rex, Bree Elrod,0,0
King Richard,7.5,2021,11,144,Reinaldo Marcus Green,50000000.0,39359895.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Will Smith, Aunjanue Ellis,1,0
"tick, tick... BOOM!",7.5,2021,11,120,Lin Manuel Miranda,55000000.0,112777.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andrew Garfield, Alexandra Shipp,1,0
Jungle Cruise,6.6,2021,7,127,Jaume Collet Serra,200000000.0,220889446.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dwayne Johnson, Emily Blunt,1,0
Spencer,6.6,2021,11,117,Pablo Larra n,18000000.0,24901028.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kristen Stewart, Timothy Spall,1,0
Candyman,5.9,2021,8,91,Nia DaCosta,22000000.0,77411570.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Yahya Abdul Mateen II, Teyonah Parris,0,0
Titane,6.6,2021,10,108,Julia Ducournau,6042000.0,4982335.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Vincent Lindon, Agathe Rousselle,0,0
Gunpowder Milkshake,6.0,2021,7,114,Navot Papushado,30000000.0,1015760.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Karen Gillan, Lena Headey,0,0
The Conjuring: The Devil Made Me Do It,6.3,2021,6,112,Michael Chaves,39000000.0,206401480.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Patrick Wilson, Vera Farmiga,1,0
Tenet,7.3,2020,9,150,Christopher Nolan,205000000.0,365294355.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,John David Washington, Robert Pattinson,0,0
Emma.,6.7,2020,3,124,Autumn de Wilde,10000000.0,26404660.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Anya Taylor Joy, Johnny Flynn,0,0
The French Dispatch,7.1,2020,10,107,Wes Anderson,25000000.0,46333545.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Benicio Del Toro, Adrien Brody,1,0
Wonder Woman 1984,5.4,2020,12,151,Patty Jenkins,200000000.0,169602006.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Gal Gadot, Chris Pine,1,0
The Father,8.2,2020,2,97,Florian Zeller,6000000.0,24598259.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Anthony Hopkins, Olivia Colman,1,0
The Croods: A New Age,6.9,2020,11,95,Joel Crawford,65000000.0,215905815.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nicolas Cage, Emma Stone,1,0
The Forgotten Battle,7.1,2020,10,124,Matthijs van Heijningen Jr,14840000.0,6000546.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gijs Blom, Jamie Flatters,0,0
The Hunt,6.5,2020,3,90,Craig Zobel,14000000.0,10550350.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Betty Gilpin, Hilary Swank,0,0
Sonic the Hedgehog,6.5,2020,2,99,Jeff Fowler,85000000.0,319715683.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben Schwartz, James Marsden,0,0
Underwater,5.8,2020,1,95,William Eubank,80000000.0,40882928.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Kristen Stewart, Vincent Cassel,1,0
Birds of Prey,6.0,2020,2,109,Cathy Yan,84500000.0,205322941.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Margot Robbie, Rosie Perez,1,0
Boss Level,6.8,2020,3,100,Joe Carnahan,45000000.0,1753823.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank Grillo, Mel Gibson,0,0
Mulan,5.7,2020,9,115,Niki Caro,200000000.0,69965374.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liu Yifei, Donnie Yen,0,0
The New Mutants,5.3,2020,8,94,Josh Boone,67000000.0,49169594.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Maisie Williams, Anya Taylor Joy,0,0
Freaky,6.3,2020,11,102,Christopher Landon,5000000.0,18073433.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Vince Vaughn, Kathryn Newton,1,0
The Invisible Man,7.1,2020,2,124,Leigh Whannell,7000000.0,144492724.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Elisabeth Moss, Oliver Jackson Cohen,1,0
Nomadland,7.3,2020,2,107,Chlo Zhao,5000000.0,39458207.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frances McDormand, David Strathairn,1,0
The King of Staten Island,7.1,2020,6,136,Judd Apatow,35000000.0,2180452.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pete Davidson, Bel Powley,0,0
2 Hearts,6.3,2020,10,101,Lance Hool,15000000.0,1349286.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Jacob Elordi, Adan Canto,0,0
Bloodshot,5.7,2020,3,109,Dave Wilson,45000000.0,39861118.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Vin Diesel, Eiza Gonz lez,1,0
Greenland,6.4,2020,12,119,Ric Roman Waugh,34000000.0,52300000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Gerard Butler, Morena Baccarin,1,0
Monster Hunter,5.2,2020,12,103,Paul W S Anderson,60000000.0,42145959.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Milla Jovovich, Tony Jaa,1,0
Fantasy Island,4.9,2020,2,109,Jeff Wadlow,7000000.0,49447308.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Michael Pe a, Maggie Q,0,0
The Call of the Wild,6.7,2020,2,100,Chris Sanders,135000000.0,111202881.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Harrison Ford, Omar Sy,1,0
Unhinged,6.0,2020,8,90,Derrick Borte,33000000.0,44331465.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Russell Crowe, Caren Pistorius,1,0
The Rental,5.7,2020,7,88,Dave Franco,3500000.0,4311042.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Dan Stevens, Alison Brie,0,0
Bad Boys for Life,6.5,2020,1,124,Adil El Arbi,90000000.0,426505244.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Will Smith, Martin Lawrence,1,0
Riders of Justice,7.5,2020,5,116,Anders Thomas Jensen,5300000.0,2000541.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mads Mikkelsen, Nikolaj Lie Kaas,1,0
The Wolf of Snow Hollow,6.2,2020,10,85,Jim Cummings,2000000.0,266963.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Jim Cummings, Riki Lindhome,0,0
