Title,Rating,Year,Month,Certificate,Runtime,Directors,Stars,Country_of_origin,top_50_director_1,top_50_director_2,top_1000_Stars_1,top_1000_Stars_2,top_1000_Stars_3,top_1000_Stars_4,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,Budget_inf,Income_inf,Profit_inf,ROI_inf
Spoiler Alert,6.7,2022,12,PG-13,112.0,Michael Showalter,"Jim Parsons, Ben Aldridge, Josh Pais, Allegra Heart",United States,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1384003.0,0.0,0.0
I Heard the Bells,7.4,2022,12,,110.0,Joshua Enck,"Stephen Atherholt, Jonathan Blair, Rachel Day Hughes, Zach Meeker",United States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5382295.0,0.0,0.0
Memory,5.7,2022,4,R,114.0,Martin Campbell,"Liam Neeson, Guy Pearce, Taj Atwal, Harold Torres",United States,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30000000.0,13897255.0,-16102745.0,-1.1586996856573475
An Action Hero,8.0,2022,12,,130.0,Anirudh Iyer,"Ayushmann Khurrana, Nora Fatehi, Akshay Kumar, Malaika Arora",India,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,197835.0,0.0,0.0
Dune,8.0,2021,10,PG-13,155.0,Denis Villeneuve,"Timoth e Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac","United States, Canada",1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,172751535.0,420726312.49,247974777.49,0.5893968837423116
Spider-Man: No Way Home,8.3,2021,12,PG-13,148.0,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon",United States,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,209395800.0,2007508968.05,1798113168.05,0.8956937162759491
The Little Things,6.3,2021,1,R,128.0,John Lee Hancock,"Denzel Washington, Rami Malek, Jared Leto, Chris Bauer",United States,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,31409370.0,32313358.89,903988.8900000006,0.027975701723777086
No Time to Die,7.3,2021,10,PG-13,163.0,Cary Joji Fukunaga,"Daniel Craig, Ana de Armas, Rami Malek, L a Seydoux","United Kingdom, United States",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,261744750.0,810521941.12,548777191.12,0.6770664226087274
A Boy Called Christmas,6.7,2021,11,PG,106.0,Gil Kenan,"Maggie Smith, Isabella O Sullivan, Joel Fry, Eden Lawrence","United Kingdom, France",0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3878727.4,0.0,0.0
The Suicide Squad,7.2,2021,8,R,132.0,James Gunn,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman",United States,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193691115.0,176580928.75,-17110186.25,-0.0968971358975254
Don't Look Up,7.2,2021,12,R,138.0,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett",United States,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,78523425.0,829063.93,-77694361.07,-93.71335340810207
The Black Phone,6.9,2021,6,R,103.0,Scott Derrickson,"Mason Thames, Madeleine McGraw, Ethan Hawke, Jeremy Davies",United States,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18845622.0,168777979.57,149932357.57,0.8883407536456268
